Review	Liked
 Promising but loses all gas 	0
 Summed up 	0
 Complex and Addictive 	1
 Goat 	1
 Last season very dissatisfied 	0
 Last 2 seasons ruin this Excellent show 	0
 The Best Show... Or it Was. 	1
 It was an absolute rollercoaster but the ending was the only disappointing one for me... 	0
 the final taste 	0
 Great Show With a Very Bad Final Season 	0
 Epic fail 	0
 Come on!!!!!! 	1
 A Watershed Moment for Television 	1
 Absolutely stunning! 	1
 Sad 	0
" Watch Seasons 1-7, They are Fantastic! (and forget that Season 8 ever happened...) "	0
 GOT could've been alot better! 	0
 Disappointing yet worthwhile 	0
" It came, we saw it, and I wished Game of Thrones had conquered "	0
 Loved this show so much 	0
 Why HBO? 	0
 Absolute Disappointment! 	0
 Enjoyable escapism from an unlikely source. 	0
 Sorry to say i'm Over it 	0
 Not the best ending 	0
 If you are starting it now stay away from this show. 	0
 Probably the best TV show in the new millennium so far 	0
 How the HELL does this have a 9.5 on IMDb? 	0
 Poor 	0
 Shocking violence 	0
 This show is boring to watch 	0
 An Alternative To Popular Opinion..Read On If You Dare!!! 	0
 A show with ups and downs and definitely overrated. 	0
 Could have been so great... 	0
 Do not miss out! 	1
 Poorly Made and Boring 	0
" Beautiful, well acted and ridiculous. "	0
" If you haven't watched it, don't! "	0
 Lost about 80 hours of my life seeing this 	0
 The Best Show Of All Time 	1
 Unjustified negativity 	0
 IT Doesn't get better than this 	1
 I really liked GOT till Season 7 	0
 George g...RRR Martin is Horrible 	0
 Boring 	0
 I'm sad 	0
 D&D shame in your 	0
 The 9.5 is no longer warranted. 	0
 Absolutely top-class! 	1
 Oh my God what a piece of crap! 	0
" enough already, with this game of bores "	0
 Best TV Show by far 	1
" Incredible, one of the best works of modern fantasy fiction "	1
" Great show but, with the worst season finale ever "	0
 THAT ENDING THO 	0
 Time for a comedy remake of GoT?! 	0
 Should be 10 but season 8 ruined it all 	1
 Garbage Ending 	0
 Thanks for the waste. 	0
 Wish there was no season 8! 	0
 Bored and More Bored 	0
" If I rated with my emotions, this would be a 7 "	0
" This review is about the season 7 only, may contain spoilers "	0
" Violence, gore, sex, nudity and rape. "	0
 Best Show Ever 	1
 One of the best shows 	1
 Don't watch this... No show you view will ever affect you the same way. 	1
 Best TV Show Ever! 	1
 The 3rd season is amazing! 	1
 Can't wait for the second season 	1
 The most BORING and overrated show of all time! NOTHING compared to the superior Breaking Bad 	0
 Why the World needs Game of Thrones? 	1
 There is no better show on TV (at least Fantasy genre) than Game of Thrones. 	1
 This is how you turn a great story into great television 	1
 The best TV show running 	1
 Disappointed 	0
 Best tv serie ever? 	1
 Epic 	1
 Shame for other TV Series 	1
 Overrated 	0
 THE MOST Overrated Show 	0
 Just a long boring porn story 	0
 Big downhill after season 4 	0
 HBO came back again with excellent TV Show 	1
 Not a flattering reflection of the book! 	0
 D&D ruined this 	0
 We waited almost two years for season 8...For total disappointment. 	0
 BigZ69 doesn't like 	0
 Season 1-4 great after that not so much 	0
 Dissapointing 	0
 Great show ruined by the most unbelievable series finale of all time 	0
 Revising rating due to eight season 	1
" ""Game of Thrones"" is a great TV series full of passion and adventures. "	0
" Well Cast, Well Acted, Well Done "	1
" Noble history, attitudes, and dreams in a nutshell "	1
" outstanding, but, I'm afraid, most likely popular for the wrong reasons "	1
 Excellent adaptation 	1
 Great story but I don't feel like seeing a porno 	0
 Overrated 	0
" You used to be cool, man "	0
 Great on the surface...ran into the ground 	1
 Incoherent 	0
 very awesome 	1
" Confusing, Boring, and Nonsensical "	0
" Get your barf bags, folks! "	0
 For those who haven't read the Books. 	1
 All round fantastic take on the fantasy genre 	1
 As true to the books as possible given the time restrictions 	1
 You Don't Compare With Lords Of the Ring 	1
 The best and most well-balanced series i have ever seen! 	1
 Soapopera in the middle ages 	0
" Sex, betrayal, violence...And where's the payoff? "	0
 Terrible.. nothing happens 	0
" Quite overrated and an insult to men, what a great show, right? "	0
 Nudity and Gore 	0
 A true masterpiece 	1
 -9.4 rating is more like it (Horrible show) 	0
 Winter is coming. 	1
 Peter Dinklage for an Oscar!!! 	1
 The perfect start 	1
 Violent Porn is no Substitute for Creativity 	0
" A Tasteless, Boring Mess!!! "	0
 Sex scenes are affectless take offs on pornography 	0
 Over-hyped nonsense 	0
 Overrated snooze fest 	0
 Started out well but... 	0
 What it's all for? 	0
 Love love love 	1
8	0
 Ouch! 	0
 Very poor show 	0
 This series is a 10 till the last season 	0
 Greatest show ever 	1
 Slowly declining 	0
 Mr Martin's work of genius 	0
" It's the best movie ever made, except it never has to end. "	1
 Season 8 sucks 	0
 Best TV series ever 	1
 Just read below! 	1
 Game of Thrones - Looking forward to more. 	1
 Stunning portrayal 	1
 Makes everything else look Amateur 	1
 One of the best fantasy series 	1
" Great show, surprised me, bought the books "	1
 Superb 	1
 Great Book Adaptation 	1
 A solid show with a horrific last season 	0
 One of the greatest TV series in history with the worst payoff 	0
 Awesome beginning.... but the ending 	1
 Unmatched 	1
 Crap 	0
 Game of Thrones 	0
 The part is Weak 	0
 Lost 2.0 but with an ending 	0
 George I miss you! 	0
" really good , until... "	0
 Quick Review - No spoilers 	1
 not worth watching 	0
 Game Of Thrones:The kidnapping and butchering of a genre:The fantasy series. 	0
 The best show on television. Hands down. 	1
 Great Books = Great Television Series 	1
 Absolutely Amazing 	1
 Afraid To Show Feelings 	0
 Damn Awesome - Watch it or Earn the Wrath of Arya Stark! 	1
 fantasy that bites 	1
 Expensive failure 	0
 potentially good show completely destroyed by over-rating and poor storytelling 	0
 I think I know why some are conflicted... 	1
 Winter is Coming 	1
 Too much violence and gore scenes...blood all over the brainless characters 	0
 One very sick show 	0
" Watch till Season 4, after that is becomes Hollywood Bullcrap "	0
 Was a 10 show at first 	0
" Incredible show, Favourite, However... "	1
 Simple questions never answered 	0
 ending 	0
 Love GOT but worst ending. 	0
 I don't get it 	0
 Legendary! 	1
 The Only Series that Matters 	1
 The Love of My Life 	1
 Only Game In Town 	1
 Probably TV's Finest Show 	1
" Great story, good acting, brilliant directing and scenery, TOO much porn and gratuity "	0
 A Song for the eyes and mind 	1
" Soul of Shakespeare, soul of what acting represents "	0
 best show on now 	1
 Everything that goes up must come down 	0
 Most Addicted TV series ever mad in history .... 	1
 much ado about nothing 	0
 Best series Ever 	1
 Can't get enough of this show 	1
 Amazing! (English) 	1
 Outstanding in all ways 	1
 I've never seen a TV show like this one! 	1
" Now this is ""TV worth watching!"" "	1
 Game of Thrones 	1
 One of the Greatest of all times. 	1
 A ticking time bomb full of Wildfire 	1
 Something for everyone! 	1
 A sad two :( 	0
 Way too overrated! Not any good for a true fan of the books :( 	0
 It don't have much content nor depth. 	0
 Seven Kingdoms of epic. 	1
" Absolutely fantastic...from an ""outsider's"" perspective "	1
" I'm sorry, I just don't get it... "	1
 Must watch! 	1
 Worst ending ever........writters spoiled 1 chance to achieve glory of a lifetime.......such a shame 	0
 Rate based on Sea 8 Ep 3 first 18 min - night scenes so dark can't see 	0
 The directors destroyed this by forcing the end 	0
 Ends Are frustrating and don't even think about Justifying a bit of story line. 	0
 THE BEST BY GAME OF THRONES 	1
 One of the best TV Shows 	0
 Season 8 was a different show 	0
 Let's just pretend season 8 didn't happen 	1
 Going to have to do this due to how you runied the ending. 	0
 Yeah it's ok 	0
 Watch Season 1-4 	0
 One of my favorite series. 	0
 The Vilest Most Peurile Garbage Ever Broadcast 	0
 Terrible... 	0
 This show sucks 	0
 Season 1-5 amazing. The rest is poor guesswork 	0
 Overall 	1
 Amazing show from beginning to end! 	1
" Bar season 8, its easily the best TV show of all time "	1
 Great series horrible ending 	0
" Watch seasons 1 - 7, and forget 8 ever existed "	0
 Almost the Greatest show... 	0
 Bad movements 	0
 Elaborate Spectacle 	0
" Once again, skip these idiot reviews and watch for yourself. "	0
 Fantastic first season but losing interest due to character deaths and scattered story lines. 	0
 late stage feminist propaganda imho 	0
 A disgusting abomination. 	0
 Oh dear! 	0
 Who is who and what now? 	1
 Bad 	0
 The last season ruined it totally! 	0
 Overrated. Avatar the Last Airbender is better. 	0
 Last episode fail! 	0
 They destroyed the spirit of the show 	0
 Season 8 - Not Good! 	0
 Best of the best 	1
" Season 7 is below average television with an insanely high budget, nothing more. "	0
 Disappointment from a lover of the books 	1
 A Special Show!!! 	1
 Surprisingly good 	0
 Even better than sliced bread!! 	1
" ""You did not fight nobly!"" ""No... (Points to the chasm he pushed his opponent into) He did!"" "	1
 Simply the best! 	1
 A Great Start 	0
 The most boring and overrated show ever 	0
 Zero stars!! 	0
 The world's most expensive snuff film. 	0
 Get a life 	0
 Overrated 	0
 Mix of good and bad 	0
 Season 8 GOT rename to POS 	0
" After littlefinger and stannis, i knew this show will be the worst "	0
" 5 for the sets, the actors and the FX and 0 for the plot "	0
 Great show regardless of S8 or not. 	1
 Got 	0
 Why we can't rate this 20 stars !? 	1
 A TV Show Impacts the human being for the next 20 years 	1
 perfect fiction 	1
 Unbelievably Good 	1
 Godly 	1
 Breathtaking! 	1
 If you haven't watched it go watch it. 	1
 Perfection 	1
 One of the most stunning... or the most? 	0
 Why do people always compare series with books? 	1
 watch this show 	1
 The most epic series ever created! 	1
 Best.Show.On.TV 	1
" Wheel crafted, well done, a good experience "	1
 Awesome Show 	1
 fantasy meets reality 	1
 It's not TV. It's HBO. 	1
 Incredible - Its like a web full of little links. 	1
 Sets the bar impossibly high for a TV series! 	1
" 50% Lord of the Rings, 50% Spartacus Blood and Sand, & 100% awesome "	1
 Game Of Thrones- You Win or You Die 	1
 Deep and Entertaining 	1
 Perhaps the best TV series of 2011 	0
 Could be the best show EVER of television 	1
 Fantastic 	1
" Having read all the books, I was expecting great things from this series and HBO have done it well. "	1
 Never thought it was going to be this good 	1
" Blood, Sex and Fantasy! "	0
 Awful show 	0
 A medieval soap 	0
 1 compared to books 	0
 Easy rating 	0
" Unfortunately, a waste of time "	0
 That's some addictive stuff ! 	1
 Greatest TV series of all time 	1
 10 stars are not enough 	1
 a new addiction 	1
 As good as it gets! 	1
" Extremely good, most worthwhile thing on TV right now "	1
 Quite Possibly the Greatest Thing to Ever Come Out Your TV 	1
" Predictable, Old, Nothing to Root For "	0
 The best show currently airing! 	1
 Wow 	1
 The BESSSTTT Show on TV !!!!!!!!!!! 	1
 One of the best TV series i've ever seen 	1
 LOTR of the small screen 	1
 HBO Does it again! 	1
 Long Live the Seven Kingdoms of Westeroes 	1
" One star, only because there was not a 0 "	0
 Stop destroying tv 	0
 Vvv 	0
 The most overrated TV series in history 	0
 Perfect for Our Times 	0
 Banal Fantasy Soap Opera for Teenagers 	0
 The only one to deserve a 10 out of 10 	1
 Shame the Internet hate bandwagon had to happen 	1
 Fairytale ending....Pathetic 	0
 Worst ending ever! 	0
 Things we do for MONEY !!! 	0
 An Once Great Show 	1
 Fantastic show until the last season when they phoned it in 	0
 GOT 	1
" Nice Show, But Sorry never come close to Breaking Bad. "	0
 Mind blowingly awesome I wish I could give more than 10 stars. 	1
 Simply brilliant with near-perfect acting and writing. 	1
 I am obsessed!! 	1
 Every climax in every episode leaves me hanging 	1
 George RR Martin's dream come true. 	1
" Acting, Screenplay, Directing, Storyline, Characters, Sounds and Music "	1
 Dinklage makes a better Tyrion than one in the books!! 	1
 I Feel Obligated to Review This 	1
 The perfect show 	1
 Winter is Coming 	1
 A must watch for everyone with an imagination! 	1
 Simply the best (Gauranteed) 	1
 Excellent 	1
 Season 1 	1
 An addictive adult fantasy series 	1
" A Dangerous Show Promoting Violence, Rape and Amorality as the Norm and then Downloading it into Viewers Minds as Acceptable "	1
 Gutted 	0
 All was well until the end of Season 1 	0
 You should have read the books. 	0
 Violent and depressing 	0
 Captivating 	1
 Not as I expected 	0
 Timeless. 	1
 Greatest show ever 	1
 Welp 	1
 Worst ended ever 	0
 Wow 	1
 Game of Thrones will go down in history as one of the best shows ever. 	1
 Cult of series 	1
 Thrilling 	1
 Fantastic 	1
 Best show ever !! 	1
 Universe of Irrationality 	1
 Possibly the best television series ever created in the history of mankind. 	1
 Absolutely fantastic. The best show in TV history 	1
 Best show on TV EVER! 	1
 Fantastic!! 	1
 Absolutely groundbreaking! 	1
" Winter Is Coming, and with it a New Era for Fantasy "	1
 Valar Morghulis 	1
 One of a kind 	1
" It is such a dark, dark world. AND I LOVE IT! "	1
 This show has everything! 	1
 Brilliant! 	1
 Beyond excellent 	1
 You may want to sit back and enjoy because well-executed entertainment is coming! 	1
 A Legacy to Remember 	1
" This series is phenomenal, addictiive and naughty "	1
 Excellent swords and sorcery behemoth! 	1
 Really great 	1
 Movie show 	1
" Only a handful of gripes, overall excellent "	0
" Wonderful, elaborate storytelling "	0
 Absolutely riveting! 	1
 Beautiful 	1
 haven't been so interested in series! 	1
 Nothing special at all. 	0
 Takes the Throne of Crapiness 	0
 Ignore the Season 8 Haters 	1
 Terrible ending destroys the complete series...... 	0
 A Stunner!!!! 	1
 all hail 	1
 This show breaks(or should break) the IMDb rating system. 	1
 The best TV show of all time. Do you want to know why? 	1
 Excellent 	1
 Pure 100% Gold!George R.R. Martin is a genius! 	1
 Thank You Pedro Pascal 	1
 Sex and betrayal in the time of dragons. Juicy. 	0
 Game of Thrones is a masterpiece 	1
 outstanding series! 	1
 WOW this is an amazing TV series 	1
 Best TV Series I have ever seen. 	1
 Last season cost it to be best. 	0
" A great ride, til it drops you on your ass. "	0
 It is game of thrones 	1
 Unpopular Opinion 	0
 Not a ten 	1
 I love it 	1
 BEST TELEVISION SERIES I HAVE EVER WATCHED 	1
" If you seek an incredible story-line set in a fantasy world and haven't tried GoT yet, the best time to do so is now. You won't find any better. "	1
" A dark, gritty, twisted fairy-tale. Beautiful, poetic, ruthless and unforgettable!!! "	1
 Absolutely riveting 	1
 Quite simply the best new TV series ever made. 	1
 The best show ever !!! 	1
 Simply Mind Blowing 	1
" A truly unique, brilliant show "	1
 Read the books!!! 	1
 Wow.... Simply.... WOW! 	1
 best of the best TV series 	1
 Really good start 	1
 Don't know whether I will like anything else hereafter 	1
 One of the greatest shows I have seen on TV!!!! 	1
 Season 1-6 Masterpiece! Season 7-8 Garbage! 	0
 Wow! 	1
 Only season 8 is really other r osm 	1
 Game of Thrones: One Line Review 	1
 Game of thrones is the best 	1
 Game of Thrones 	1
 Landmark in TV series production 	1
 One of the best shows on TV- Would triumph if the ending was different 	1
 Would have been 10 but for the last two seasons 	0
 Confused with the way things ended 	0
 Overall a great series 	1
 Great series 	1
" 6 great seasons, one good season and season 8 "	0
 Please tell me they are leading us on 	0
 Game of Thrones used to be my favorite TV show... 	0
 GOT deserved better 	0
 WHAT'S GOING ON???!!! 	0
" A game of talent, time and business - the fall of a giant "	0
 A game- changer... and I'm not even a big fan of fantasy 	1
 Come on people!! 	0
 Review 	1
 Probably the best Season Premier 	1
 How could i not give it a 10. 	1
 Why did I wait SO LONG to watch it?? 	1
 One word to describe GOT ...phenomenal!! 	1
 No spoilers 	1
 Dense interweaving storytelling 	1
 Absolutely Magnificent 	1
 The best show out there ever. 	1
" Very nice production, I watched every episode with pleasure, BUT... "	1
" Swords & Dragons & Castles, oh my! "	1
 I just started watching today 	0
 If this is considered entertainment the world is doomed 	0
 game of thrones season 2 is really really bad 	0
 How can the source material turn into... This... 	0
 The biggest rubbish I have EVER seen..... 	0
 Series 7 opener 	0
 Over hyped 	0
 overrated? in my opinion; yes 	0
 Mindless violence and misplaced nudity 	0
 Get over it people. 	1
" Amazing atmosphere but in the end, something was missing for me... "	0
 Wow 	0
 Too Slow for my liking 	1
 Masterpiece!! 	1
 One of the best TV Shows !! 	1
 Westeros is a far cry from Middle-Earth. 	1
 BriLLiant! 	1
 Seasons 1-5 magnificent but from there Downhill 	0
 TV King of the world almost dethroned by a poor final season 	1
 The most evil ruler of the 7 kingdoms 	0
 No consistency 	0
 Best TV show I have ever experienced 	1
 Magnificent 	1
 Ending was not good at all 	0
" Shame, Shame, Shame "	0
" Best series ever, until D&D couldn't base it on books. "	0
 Great series. Seasons 1-7 are amazing. Finale Season Very SubPar 	1
 And My Watch has Ended but In a Pathetic Way..!! 	1
 Last 4 episodes were disappointing 	1
 Great Show only if you can avoid watching the last season 	0
" The greatest TV show ever, ruined by the last season "	1
 Goodbye my friend. 	1
 And now our watch has ended... 	1
 Detective Grey Worm 	1
 Did GoT just jump the shark? 	0
 Worst episode in all the show from beginning 	0
 Amazing. 	1
 Believe the hype 	1
 Exceptional 	1
 As close to perfection as it is possible to get. 	1
 THE BEST THERE IS. 	1
 The best tv show ever made 	1
 Is the king of tv series 	1
 Excellent!!! 	1
 Greatest show EVER! 	1
 The Best TV Series in the World So Far 	1
 Why game of thrones is one of the best tv shows ever made!! 	1
 Best TV show ever made 	1
 You can feel the writers have changed 	0
 A breathtaking fantasy drama with some of the most complex and captivating characters on TV 	1
 Good but the books were (once again) better 	0
 Most Well-Made TV Show I've Ever Seen 	1
 Art of Kingship 	1
 A good quality show...... 	1
 Wait a minute? I liked it!? 	1
 I haven't read the books 	0
 A very beautiful sh*t 	0
 Don't listen to the haters 	1
 The best 	1
 The most promising epic saga turned to trash. 	0
 Horrifying season 8 	1
 A few thing i needed to say about *game of thrones* 	1
 Episode 3 	0
 It's simply the best! Every episode is like a movie 	1
 Absolutely unattainable 	1
 Great work based on the best book 	1
 You need a lot of patience to watch this! 	0
" Pure escapism, but one that drags "	0
 Best Series Ever! 	1
 11 Stars 	1
 Best Television show I Have ever seen.. And thats saying Something!!! 	1
 Just magnificent 	1
 100% Flawless TV 	1
" Never read the books, but after finishing season 1, I think I will. "	1
" First of all, I have to start out by saying that Game of Thrones will probably rank up there with LOST "	1
 Still the best thing i ever watched (strictly my personal opinion ) 	1
 One of the most overrated overhyped shows ever made 	0
" Ah yes, the ending "	1
 All time greatest show 	1
 Amazing 	1
 Epic first 5 seasons. Absolutely horrible last 3 seasons. Read the books for a better experience. 	0
 Last Season 	1
 Love the show 	1
 Hmmm.... The greatest show with the worst ending possible. 	1
 Worst ending ever - Don't waste your time 	0
 I cannot Believe 	1
 One of the Best Shows Ever Made 	1
 Finale season review 2 episodes in 	0
 Top class TV show 	1
" Brilliant, captivating, in-depth story. "	1
 Convincing sword and sorcery franchise 	0
" Every episode contains drama, and excitement! "	1
 The Best 	1
" Game Of Thrones, what a show "	1
 Tyrion!!! 	1
 Best Show Ever . 	1
 Amazing Show! 	1
 epic fantasy for adults 	0
 impressive 	0
 Great potential 	1
 Incredible 	1
 Cheapened with Porn and F-words 	0
 Overrated!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 	0
 Enough 	0
" Well acted, well written, and well produced - but too extreme. "	0
 Is there a story? 	0
 Its actually quite boring and massively overrated 	0
 Worst story 	0
 Awful series 	0
 No nooooo 	0
 overrated 	0
 ugghh 	0
 Fantastic until S07 & 08 happens 	0
" One of the best scripts for tv ever - complex, many characters, intertwined, intriguing... "	1
 A 10 show turned into 8 and I'm being generous!!! 	0
 Nuff said 	1
 Great series that fell off at the end 	0
 Finale 	0
 Season 1-7 {9} Season 8 {4} 	0
 HOW AM I SUPPOSED TO RATE THIS 	0
 Don't get your hopes up. 	0
 Epic; but... 	0
 Amazing but! 	0
 *sigh* 	0
 Miss judged shortcuts 	0
 The finale and season 8 is a knife through my heart. 	0
" Tragic, powerful, unexpected "	0
" Awe, I wanted to like this; many good ideas executed poorly "	0
 No need of review 	1
" ""Good things must come to an end..."" "	1
 BEST TV SHOW EVER 	1
 Just unspeakably awesome show 	1
 Best show ever 	1
 PHENOMENAL 	1
 Best thing ever created on screen! 	1
 Just good all around 	1
" Great, but probably ending at the right time. "	1
 Incredible Viewing 	1
 My initial rating was a solid 10 	1
 Falling off 	0
 Greatest Show ever 	1
 Confusing 	0
 Truly Phenomenal 	1
 Milking a dead cow 	0
" Brainwash, oh and spoilers "	1
 Brutally overrated 	0
 The Winter Is Coming. Thank Goodness. 	0
 Do something else 	0
 Stupid end of excellent series.. 	0
 Excellent series except for the last season 	1
 Some great TV 	0
 I wish I had written the last season(s) 	0
 Where's the REVENGE? 	0
 Disaster 	0
 7 for 7 out of 8 seasons 	0
 was good until it deviated 	0
 Is was good until the last 4 episode 	0
 Great Show but season 7 disapointing 	0
 1-6 wonderful - 7 watchable - 8 total crap 	1
 Seasons 8 destroyed The Show 	0
 Stunning tv show until season 7 - after that disappointed 	1
 Once in a lifetime 	1
 GOT 	1
 Best tv show ever 	1
 Best ever 	1
 The best tv series ever 	1
" Without a doubt, the best series EVER! "	1
 hail GOT 	1
 Books vs. TV 	1
 Masterpiece 	1
 2 Comments 	1
 Best show I've ever seen! 	1
 Beyond the tradition 	1
 Best series 	1
 Sick 	1
 Pleasantly surprised 	0
 Very Good Show 	0
 game 	1
 A Fantastic Series From Start to Finish 	1
 Amazing!!! The best thing I have ever seen!!! 	1
 The best tv-series ever 	1
 Let the Game Begin 	1
 This TV series is magnificent! And Its Awesome. 	0
 Did you read the books? 	1
 Bad 	0
 No Need to Watch 	0
 Highly overrated 	0
 From modest beginnings to masterpiece. 	1
 NOTICE!!! 	1
 Love is stronger than hate 	1
 Good God this sucks 	0
" If you know me, I've seen over 5,000 movies and TV Series. When I Rate something on IMDb a 10, it's because I compare it to this show. "	1
" Some characters are not well casted, but the book(s) is/are adapted quite faithfully. An amazing TV series. Watch under any cost! "	1
 Awful 	0
 Utter drivel 	0
 I honestly cannot fathom why this show is popular 	0
 Spoiled Fun 	0
 Embarrassingly terrible 	0
 3 Episodes Killed 8 Seasons of Awesome 	0
 from 10 to 0 	0
 NOT that much BIG and EXCITING 	0
 Boring boring 	0
 This is a television show? 	1
 Too good 	1
 The best TV show right now 	1
 I don't get it 	0
 One of the best shows on TV 	1
 Unbelievable series 	1
 Awesome! 	1
 GoT: A Gateway Drug 	1
 Another one... 	0
 These 1s are ridiculous 	1
" When you're honest and step away from the hype and wanting to fit in with all of the fans, you will see what is likely the most overrated television show of all-time "	0
 Please read this about GOT 	1
 The best HBO show ever. 	1
 Simply a masterpiece! 	1
" 1-6 awesome, 7-8 too fast "	1
 Can't stop watching 	1
 Best. Show. Ever. 	1
 9.5 as a whole for the series 	1
" Thank you for an AMAZING show! Hats off to HBO, David Benioff & D. B. Weiss! And a big THANK YOU to all the actors which made all the characters so real and lifelike. "	1
 The best 	1
 8.3 uzdunuz beni 	0
" Anticpating ""The Dragon & the Wolf"" "	0
" Good visuals, actors and atmosphere, but... "	0
 must watch for anyone who likes any of it's genres 	1
 Better than the books ! 	1
" Great entertainment, though it falls somewhat short of being a Masterpiece "	0
 Finally!!! 	1
 TV at it's finest 	1
" Unpredictable, thus, Compelling "	1
" Ambitious and stunning series, superbly executed "	1
 Outstanding series 	1
 Was doubting for a moment but that was over really fast ! 	1
 absolutely brilliant 	1
 Great BUT! 	0
 What happened? 	0
 What has TV come to? 	0
 Amazing 	1
 For a certain audience 	0
 ABSOLUTE GARBAGE 	0
 Stupid Fantasy Crap 	0
 Greatest TV Show I've Ever Watched 	0
 Great tv show 	1
 Epic and unprecedented 	1
 Short and Sweet 	1
" Good Show , bad writing for S7 - S8 "	0
 Season 8 worst ending ever. ruined the show for me. 	0
 The best in all respects 	1
 Certainly something unfortunately disappointed.... 	0
 A fast paced ending slows down the wheel that was already built 	0
 An Amazing Show But the end is 	1
 Really sad 	1
 What could've been 	0
 A magnificent series nearly full of all emotions one may think of 	1
 game of thrones 	1
 Heart of the story without the waffle 	0
" Production is awesome, story is lacking "	0
 I think Daenarys Targaryen 	1
 Great show! Great great show! 	1
 Don't listen to the bad reviews. Watch a few episodes and see for yourself. 	1
 Brilliant - no spoilers here 	1
 Game of Characters 	1
 About This TV series 	1
 An exceptionally good show that lives up to the hype. 	1
 perfectly displayed 	1
 Compares to the likes of movies like Gladiator and Robin Hood 	1
 About season 8... 	1
 Fantastic TV show 	1
" Wanted this to be a gem, all I got was soft porn. "	0
 meh 	0
 The best TV Show of all time 	1
 Doesn't quite stick the Kings Landing. 	1
 one of the best shows out there 	1
 Character build up 	0
 One of the greatest 	1
 A Song of Squandered Potential and Disappointment. 	0
" Lets not take down the respect that the cast, cinematography and the soundtrack composers deserves! "	1
 Disappointment 	0
 Best series of all time? Naaa I dont think so. 	1
 Great Plot. Poor End. 	1
 Can we stop at season 7? 	0
 Season 8... why? 	1
 So Much Dissapointed 	0
 Arya the GoT Slayer 	0
 Great 	1
 Absolutely. Phenomenal. 	1
 The one and only 	1
 Nothing will ever compare 	1
 Crowd pleasing romp 	1
 It will go down as one of the best shows ever 	1
 Truth 	1
 Superb 	1
 BEST SHOW EVER!!!! Off the charts!!! 	1
 Best TV series ever! 	1
 This isn't a show it's a lifestyle 	1
 Amazing 	1
 Favourite series of all time 	1
 The best series I've watched 	0
 GOT : GOD OF TELEVISION 	1
 Perfection 	1
 1s and 2s. Really?! 	1
" Best TV show ever made, period. "	1
 Amazing 	1
 Best show EVER 	1
" GOOD, BETTER, GAME OF THRONES "	1
 Didn't think I'd like it 	1
 the greatest 	1
 Best show ever.. 	1
 Will be remembered and revered for many years to come! Epic 	1
 There is no greater show than Game of Thrones! 	1
 Has been excellent but 2015 a let down 	0
 The best thing on television since the Wire..... 	1
 Great Casting and Visually Stunning 	1
 The most imaginative series...yet 	0
" I admit, I hadn't read ""A Song Of Ice And Fire"" before watching the first episode. I was worried the books would ruin my enjoyment of watching the show. I was wrong. "	1
 Excellent drama-fantasy 	1
" Predictable, unnecessary nuance. "	0
 This show was good....... 	0
 Not Good Now 	0
 Most overrated show of our time 	0
 I loved the show! 	1
" Ignore The Final Season, And The Show Is Great "	1
 No one will read this anyway 	1
" Breathtaking visuals, writing, and acting. An outstanding book adaptation "	1
" Bloody, violent and nude with great actors with bipolar disorders "	0
 Boring beyond belief 	0
 Season 5: Another Heart-Stopping Season 	1
" Among the best series ever produced for T.V., if not, THE best. "	1
 A fantastic story with visually-amazing sequences 	0
" First episode too rushed, but getting better! "	0
 What's wrong with season 8? 	1
" 9,5 out of 10! "	1
" Genius , Brilliant , Amazing "	1
 Don't let your children watch this! 	0
 Amazing show 	1
" Goodbye, overrated creation! "	0
 Watch Breaking Bad instead of this sh*t 	0
" Awful, Boring, for no one... legally "	0
 There won't be anything like this show 	1
 Will watch again... 	1
 Can't believe it's over 	1
 The Greatest Show Of All Time 	1
 Genuinely the best show ever made 	1
 Best show ever 	1
 Absolutely amazing 	1
 Season 7 should be much Longer 	0
 a wonderful collective drama about humans and their conditions 	1
 LOTR of the TV World 	1
" ""Game of Thrones"" is the story of a lifetime that rivals anything ever done in storytelling history. "	0
" all fight for prestige, even when none is apparent "	0
 90 minutes episodes 	0
 A show which will stand the test of time 	1
 Unbelievable! One of the best or THE best series ever! MUST WATCH 	1
 Perfect 	1
 Excellent Series 	1
 Fabulous! 	1
 Excellent television adaptation from excellent books. 	1
 Not impressed at all... 	0
 Leaves me wanting 	0
 Boooooooooring 	0
 Disappointing in any way... 	0
 Worst final season ever!! 	0
 Phenomenal 	1
" Seriously, you need a review? "	1
 Disappointed 	0
 The greatest TV show of all time!!! 	1
 Once you see it you can get enough of it. 	1
 Overrated 	0
 Filth added to a story that doesn't need it... 	0
 Waste 	1
 Laugh Out Loud Levels of Terrible 	0
 All seasons best of best 	1
" s1: best book adaptation i ever see, s2: complete failure!!!! "	0
" Mindless nonsense! Crappy story, acting/dialogue, graphics. Nice costumes, scenery and music. Admit it, it's crap. "	0
 A Game of two halves 	0
 Pointless 	0
 10 Stars for the first 7 seasons. 2 stars for season 8 	1
 Perfect 	1
" Failed, warning SpOiLeRs. "	0
 One of the best shows ever but.... 	1
 I really liked The show from S.1 -S.7 	0
 So good until... 	1
 I wish it was better 	0
 sad! 	1
 Good but not great: massively over-rated 	0
 The best ever (S1-7) 	1
 This was a 10 until S08E05 and 06 	0
 Once in a Century 	1
 Best show 	1
 Good gone to bad 	1
 What good is a review if only unrealistic figures are given 	1
