Review	Liked
 Review of Season 1: High Production Value, but the Fantasy Genre Must Be Your Thing/Cup of Tea	0
 I think is the best TV series yet	1
 What is there to say that hasn't been said? Great Show!	1
 my life	0
 Let's see who we can kill off this week...	0
 An Authentic High Fantasy TV Series	0
 An Outstanding , Unique and Truly Magnificent Series	1
 9.5 for Game of Thrones? That can't be right...	0
 The Very Best, Complex Show I have Ever Seen!	1
 The Best of the Best	1
 Incredible show ... a little to fast paced though	1
 Walk of Punishment	1
 Fantastically alive adaptation - rich, violent and good	1
 A truly exhilarating cinematic experience	1
 Confusing but brilliant	1
 It takes time to release new chapters.	0
 The best show on television!	1
 Lord of the Rings meets Dynasty meets Dune meets Dallas	1
 No Need to Watch	0
 The best TV-show out there!	1
 I'm just saying...	0
 Extremely Good But Sensationalized	0
 The hype has been over done	0
 One of the best of adventure and medieval fiction.	1
 It's like crack on television	1
 Yet Another Moronic Mystic Show	0
 Here's why the HBO series is so true to the book:	1
 Riviting Show that keeps you guessing	1
 Truly "EPIC"	1
 One of the Greats	1
 Game of Thrones Season 6	1
 This decade might be the renaissance of TV shows	1
 A must-watch series	1
 all fight for prestige, even when none is apparent	0
 great show	1
 Something for everyone.	1
 Great ending, leaving us wanting more!!!	1
 Good writing, good acting, sex, violence, war, back stabbing.	1
 Amazing sets, solid performances, difficult epic to follow but worth it!	0
 Looking forward to watching more episodes	1
 Very similar to book., book and the series, they are both excellent.	0
 Best TV series EVER.	1
 Ideal show vs can-improve-show	1
 Amazing Series!	1
 The game is on ... don't miss it!	1
 If you are a Indian, and want to witness epic's in one TV show it is game of thrones	1
 Better than the book	1
 The Story of "A Song of Ice and Fire" is not Being Told	1
 Definitely NOT The lord of the rings	0
 First season review.	0
 The most glorious TV series ever	1
 An excellent season 7 that had me hooked from minute one	1
 I love this show	1
 i like it	1
 One of the Best Shows ever	1
 Until World's End, Nothing Can Beat Game of Thrones !	1
 Greatness at its finest.	1
 Season 3	0
 Great Show	1
 The best thing I have ever seen in my freacking world I swear!!!	1
 Best Show Evers!	1
 Won't be enough to write a book on it !	1
 The best TV show right now	1
 Very interesting a deliver what people really want	1
 Worth a watch but sometimes gets boring sometimes.	0
 Love this Show	1
 Fantasy world unlike any world setting	1
 Mind blowing and best show on TV right now	0
 Best on TV	1
 This is more like it	1
 Dark And fantastic	1
 Simply Addictive and amazing must watch	1
 WOW!! Amazing show!	1
 from season 6 so much feminism	0
 Not that perfect	0
 Destined to be one of television's legendary greats	1
 Number 1 TV series of this century 😍	1
 Breaking Bad's successor is here !!!	1
 Simply great for the most part but can be tiring and confusing	0
 2nd season was disappointing	0
 Why these additional SCENES?	0
 Broad Beginning	0
 Why offend Islam?	0
 No happy ending	1
 Looks like Mexican soap(TV series)	0
 Must watch.	1
 Great show	1
 GOT is a love	1
 excellent Norse to English adaptation	0
 Good on the whole but some scale changes, plot differences from book.	0
 One of the best but not even close to the original books	1
 amazing medieval fantasy and well written and directed.......HBO is great	1
 This is not lord of the rings	0
 There are now too many plans of action	1
 An absolutely addictive show!	1
 Game of Thrones	0
 Best TV show Ever	1
 A masterpiece	1
 GoT is a long-term love	1
 The Greatest TV Series Of All Time !!!	1
 Can't get enough	1
 Breathtaking	1
 When you play a Game of Thrones, you lose or you die, there's no middle ground.	1
 Truly addictive	1
 freakn' awesome	1
 Incredible, great show, but sometimes a little bit too bloody	0
 The season start with its epic, sprawling, bloody glory & satisfying climax	1
 Get ready for awesomeness overload!	1
 Beautiful design, but...	0
 Had originally gave it a 5 rating, but it does get much better.	1
 "A Song of Ice and Fire" for dummies	0
 A show which continues to impress me with every episode	1
 Game of thrones season 7 review: Epic Season with some disappointment	1
 exceptional first 4 season, season 5 and 6 lost track	0
 Bring in a new Interesting face - Tino Struckmann	1
 Possibly the best show ever made	1
 nais	1
 A show MUST to be watched, but be warned, adult contents are there in it.	1
 Simply epic! Mastery of Excellence.	1
 This show will go down in history as the best	1
 Everything you could ask for	1
 Everything but the kitchen sink	0
 too much special effects	0
 Picture Perfect	1
 My favourite series ever!	1
 Fiction Historical appears like it happening	1
 Drama of the Century	1
 Best TV Show that's still on!	1
 Nothing compared to the books.	0
 Season 7 Episode 5: 'Eastwatch'	0
 The game is on...	0
 Silly Fantasy == Great Fun	1
 Excellent adaptation.	1
 i really didn't expect something so strong	1
 a question about the book?	1
 season 2 episode 7	1
 Great Series	1
 Best show on TV ever	1
 Amazing, but don't justify 7 years of production	1
 Rousing entertainment for our baser natures	0
 Missing some key scenes..	0
 great drama for thrones	1
 Depravity and debauchery par excellence	0
 Inclusive of all cultures of the world	0
 This review was deleted but I am not sure why.	0
 This is a great fantasy	0
 Season 1	1
 The Best	1
 BEST SHOW EVER	1
 love	1
 Love it	1
 So amazing	1
 Best	1
 Amazing	1
 Got	1
9.7	1
 great season	1
 I never watch something like this	1
 Everyone dies but it still amazin	1
 Excellent Tv show	1
 Nothing more to add, that hasn't been already!	1
 A blend of fantasy, entertainment and drama	1
 The Best	1
 A brilliant series	1
 Best Historic Show to watch on TV	1
 Unbelievable Jeff	1
 Spoilers	1
 Amazing	1
 Best show ever	1
 Best ever	1
 AMAZING!	1
 A song of ice and fire the current writer	1
 MATARAM O LOBO	1
 Thank you, GRRM, D&D and the cast&crew	1
 Fun and Brutal Show!	0
 They Killed the Show and now it sucks	0
 Good	1
 Game of Thrones is more than a series of Dragons as many people describe	1
 The Little Guy is Great	0
 Great episode	1
 Frequently asking questions & answers	1
 An event that extrapolates completely the television media.	1
 stories about the sides of light and dark sides of man's mind,	1
 the secret lies in its uniqueness	1
 Fantastic (but lacking if book fan)	1
 extraordinary show	1
 Politics in Game of Thrones	1
 history lesson with brutal twist	1
 Las episode of season 5	0
 Bran Stark and dragons!!!	1
 Last Episode Season 4, 6/15/2014	1
 From storyline to production an amazing product (Season 1)	1
